outreach_id,voter_id,campaign_id,contact_date,contact_method
1,1,1,2024-01-10,Phone
2,2,1,2024-01-15,Email
3,3,2,2024-02-10,In-Person
4,4,3,2024-03-20,Phone
5,5,2,2024-02-25,"Social Media"
6,6,1,2024-01-25,Email
7,7,3,2024-04-01,Phone
8,8,2,2024-02-15,In-Person
9,3,1,2024-01-05,Phone
10,7,2,2024-01-10,Email
11,12,1,2024-01-15,In-Person
12,18,3,2024-02-01,"Social Media"
13,22,2,2024-02-08,Phone
14,5,3,2024-02-20,Email
15,9,1,2024-03-05,In-Person
16,14,2,2024-03-12,"Social Media"
17,21,3,2024-03-25,Phone
18,1,1,2024-04-02,Email
19,8,2,2024-04-15,In-Person
20,15,3,2024-04-28,"Social Media"
21,19,1,2024-05-07,Phone
22,23,2,2024-05-18,Email
23,6,3,2024-06-01,In-Person
24,10,1,2024-06-10,"Social Media"
25,17,2,2024-06-18,Phone
26,24,3,2024-07-02,Email
27,4,1,2024-07-10,In-Person
28,11,2,2024-07-22,"Social Media"
29,16,3,2024-08-05,Phone
30,20,1,2024-08-14,Email
31,25,2,2024-08-25,In-Person
32,2,3,2024-09-05,"Social Media"
33,13,1,2024-09-12,Phone
34,7,2,2024-09-24,Email
35,18,3,2024-10-02,In-Person
36,22,1,2024-10-10,"Social Media"
37,5,2,2024-10-18,Phone
38,9,3,2024-10-25,Email
39,14,1,2024-11-02,In-Person
40,21,2,2024-11-10,"Social Media"
41,1,3,2024-11-18,Phone
42,8,1,2024-11-25,Email
43,15,2,2024-12-02,In-Person
44,19,3,2024-12-10,"Social Media"
45,23,1,2024-12-18,Phone
46,6,2,2024-12-26,Email
47,10,3,2025-01-05,In-Person
48,17,1,2025-01-12,"Social Media"
49,24,2,2025-01-20,Phone
50,4,3,2025-01-28,Email
51,11,1,2025-02-05,In-Person
52,16,2,2025-02-12,"Social Media"
53,20,3,2025-02-20,Phone
54,25,1,2025-02-28,Email
55,2,2,2025-03-05,In-Person
56,13,3,2025-03-12,"Social Media"
57,7,1,2025-03-20,Phone
58,18,2,2025-03-28,Email
59,22,3,2025-04-05,In-Person
60,5,1,2025-04-12,"Social Media"
61,9,2,2025-04-18,Phone
62,14,3,2025-04-25,Email
63,21,1,2025-05-02,In-Person
64,1,2,2025-05-10,"Social Media"
65,8,3,2025-05-18,Phone
66,15,1,2025-05-26,Email
67,19,2,2025-06-03,In-Person
68,23,3,2025-06-10,"Social Media"
